Sr.No.,Item,PH Level
,,
A,SURFACE CLEANING,
1,All Purpose Cleaner,7
2,Multi Purpose Cleaner,8.5
3,Eco Floor Cleaner,7
4,Eco Floor Cleaner Lemon,7
5,Eco Floor Cleaner Lemon Grass,7
6,Eco Floor Cleaner Orange,7
7,Eco Floor Cleaner Lavender,7
8,Eco Floor Cleaner - French Bouquet,7
B,TOILET & BATHROOM CLEANER,
1,Toilet Cleaner & Bathroom Cleaner,4
2,Bio Hand Wash,8.4
3,Odur Neutralizer (RTU),4.9
4,Bio Hand Wash Lemon,8.4
5,Bio Hand Wash Lemon Grass,8.4
6,Bio Hand Wash Orange- Marain,8.4
7,Bio Hand Wash Lavender,8.4
8,Urinal Hygiene Bar,9.4
C,FABRIC CARE,
1,Laundry Liquid,8.2
2,Carpet shampoo,8.3
3,Carpet Stain remover,8.4
4,Carpet Shampoo (Machine) Heavy Foam,8.2
5,Fabric Stain Remover,8.4
6,Blood Stain Remover,7.2
D,KITCHEN CARE,
1,Dish wash,8.2
2,Dish wash (Machine) Low Foam,8.3
3,Bio Rinser,8.1
4,Bio Drain Cleaner,4.5
E,AIR FRESHNER,
1,Air Freshner,3.7
2,Air Freshner Arabian Oudh,3.7
3,Air Freshner Bergamot,3.7
4,Air Freshner Lemon,3.7
5,Air Freshner Lemon Grass,4.5
6,Air Freshner Orange,5.9
7,Air Freshner Lavender,5.9
F,INDUSTRIAL,
1,Bio Degreaser,8.2
2,Eco Glass Cleaner,6.4
3,Hard surface cleaner,4
4,Steel Polish,6.8
5,Furniture / Wooden Polish,6.2
6,Gum Remover,5.2
7,De Scaler,3.3
8,De Freeze Cleaner,5.7
G,STP,
1,Septizyme,5.5
H,MEDICAL,
1,HydroCarbon Cleaning Enzyme,8.5
2,HydroCarbon Cleaning Enzyme,8.5
I,POULTRY FARM,
1,Hygeine Care Disinfactant,5.7
J,FOOD FACTORY,
1,Verda Mist,7.2
